seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
4,80,4,10,361,5.0295864627441826e-05,8.195375342212596e-05,2.2961483e-05,6.000468e-05
0,160,4,10,361,0.0002737648272645522,0.0004042281394222025,0.00011348707,9.276758e-05
1,160,4,10,361,0.00013991830406232423,0.00018659045554082765,2.106652e-05,2.2016931e-05
2,160,4,10,361,0.00038233859813966407,0.0005579067858879627,2.0823407e-05,2.6946505e-05
3,160,4,10,361,0.00010905668074761895,0.00016416086592385692,5.087273e-06,6.5756903e-06
4,160,4,10,361,0.00011824054247843676,0.00016753232295969953,1.3138491e-05,1.8366542e-05
0,320,4,10,361,6.019722847767265e-05,0.00014180930779143612,4.444332e-05,3.6281057e-05
1,320,4,10,361,8.701790516245302e-05,0.00013834863363848537,4.9873463e-05,3.213921e-05
2,320,4,10,361,8.963227506873335e-05,0.0001628943126129323,4.6339126e-05,4.65786e-05
3,320,4,10,361,0.00020314448978767124,0.00032072273566559513,1.334918e-05,1.3343001e-05
4,320,4,10,361,4.433656739439323e-05,7.073815783836465e-05,7.765377e-06,7.3242354e-06
0,640,4,10,361,1.6091133712510698e-05,2.0755432614497082e-05,8.314838e-06,5.102823e-06
1,640,4,10,361,3.236279662118606e-05,5.9221786144869615e-05,2.539853e-05,1.7852668e-05
2,640,4,10,361,9.603066183119336e-06,2.277620523816193e-05,4.7858353e-05,4.5911707e-05
3,640,4,10,361,7.738874137928974e-05,0.00012801555716829283,8.026038e-06,7.410397e-06
4,640,4,10,361,1.8820367920930626e-05,2.5112373159497103e-05,1.9305471e-05,1.4273723e-05
0,10,4,20,1321,0.5234682301839757,0.5753052035360774,1.0023205e-06,53.41164
1,10,4,20,1321,0.3267660779240609,0.5269930373393055,6.577125e-07,63.921688
2,10,4,20,1321,0.7741637522551469,1.1156882245845634,1.5898653e-06,43.25488
3,10,4,20,1321,1.4112574243310425,1.9942974052745535,4.0660066e-07,39.14831
4,10,4,20,1321,0.15742914478961323,0.21285212577725676,2.3167252e-06,6.3694887
0,20,4,20,1321,0.042175854167707305,0.04603666354610492,1.1499581e-05,0.24069841
1,20,4,20,1321,0.4922336183594512,0.7314922114975675,5.305829e-06,7.7207007
2,20,4,20,1321,0.6081674229684727,0.9971134662628172,2.0675887e-05,11.096799
3,20,4,20,1321,0.14617114866314904,0.2172688934583437,2.799899e-06,0.48604548
4,20,4,20,1321,0.048433752181729406,0.057283063277764,2.434752e-05,0.17351873
0,40,4,20,1321,0.0007869592237391064,0.0009141439430491571,1.7400507e-05,0.00019091413
1,40,4,20,1321,0.0006598935226532386,0.0009085576008047158,8.200424e-06,4.626031e-05
2,40,4,20,1321,0.7336831949894428,1.2099480628967283,4.337072e-05,17.452063
3,40,4,20,1321,0.0001541985210088329,0.00022280240548905317,1.0376216e-05,1.8465631e-05
4,40,4,20,1321,0.0014302879403526138,0.0016699050227778622,9.503262e-06,0.00017659874
0,80,4,20,1321,0.0001275985627025207,0.00017455731230723442,1.776946e-05,1.3240499e-05
1,80,4,20,1321,0.00048266921564230986,0.0006116087840201123,1.25406505e-05,2.0959365e-05
2,80,4,20,1321,0.0004909561662360556,0.0008044192425982599,8.894609e-06,1.9978996e-05
3,80,4,20,1321,0.00010103711036552657,0.00018509772898001042,7.5965113e-06,1.6785662e-05
4,80,4,20,1321,2.2705564513684452e-05,4.2597376562798425e-05,1.7520651e-06,2.3390105e-06
0,160,4,20,1321,0.00022977411920577118,0.00031338101675380814,2.4567393e-05,1.936843e-05
1,160,4,20,1321,4.363616686128564e-05,6.62706453872508e-05,7.820869e-06,6.602878e-06
2,160,4,20,1321,0.00020897295070117756,0.0003941008679644708,2.3217175e-05,2.2050379e-05
3,160,4,20,1321,0.00015135881106784004,0.0002053309600127326,6.308451e-06,8.434216e-06
4,160,4,20,1321,3.0283970887541835e-05,3.7046870032142465e-05,4.1837793e-06,3.535767e-06
0,320,4,20,1321,3.0408260750744812e-05,4.388570178799622e-05,1.2468214e-05,6.6007487e-06
1,320,4,20,1321,2.4478523848943978e-05,3.369761653404524e-05,8.160692e-06,7.0671576e-06
2,320,4,20,1321,3.293576873315624e-05,7.030670654273319e-05,3.8792226e-05,3.5513673e-05
3,320,4,20,1321,8.296136234890888e-06,1.8960983529270337e-05,7.993086e-06,1.0010079e-05
4,320,4,20,1321,3.055748254118486e-05,5.0986148811528464e-05,1.0265702e-05,8.153456e-06
0,640,4,20,1321,9.857551059237604e-06,1.555193598529181e-05,9.648278e-06,6.667464e-06
1,640,4,20,1321,7.505436642165197e-06,1.634377428572087e-05,1.2676861e-05,9.850748e-06
2,640,4,20,1321,5.336021570309743e-05,8.677476594577682e-05,1.00384805e-05,1.015715e-05
3,640,4,20,1321,0.0002763507919091486,0.00039824301620761116,2.268612e-05,1.9226904e-05
4,640,4,20,1321,1.855778249252702e-05,2.5841860018638307e-05,1.1668914e-05,9.559912e-06
